# ell tt ee te bb
2.000000000000000000e+00 1.117598962657980110e+03 3.729740293625121578e-02 3.004342920469209588e+00 2.073410636954083472e-06
3.000000000000000000e+00 5.288119703909195550e+02 2.545801155763416021e-02 1.724249220106947922e+00 2.073915925058754248e-06
4.000000000000000000e+00 3.000619197779490719e+02 1.416911598844553324e-02 9.910852243717228616e-01 2.074581478985289000e-06
5.000000000000000000e+00 1.913656460156524304e+02 6.772640033702172040e-03 5.739942932286872246e-01 2.075400505008950698e-06
6.000000000000000000e+00 1.324092889368604347e+02 2.872761064374773458e-03 3.361645479404104520e-01 2.076364760045237278e-06
7.000000000000000000e+00 9.723285274634754671e+01 1.171407456917438307e-03 2.004105431551627403e-01 2.077464705548022472e-06
8.000000000000000000e+00 7.462490092070929393e+01 5.485595264166121280e-04 1.232386184042013749e-01 2.078689695796650679e-06
9.000000000000000000e+00 5.935178574405843221e+01 3.358116147873662391e-04 7.993057552685535472e-02 2.080028165861189394e-06
1.000000000000000000e+01 4.848192698576361437e+01 2.391846393718758432e-04 5.593834596544038779e-02 2.081467851045136536e-06
1.100000000000000000e+01 4.047223137580873953e+01 1.720474674476832235e-04 4.289219165758752922e-02 2.082996005158872906e-06
1.200000000000000000e+01 3.444044359712922443e+01 1.242899533385542332e-04 3.579187997361622103e-02 2.084599628512581398e-06
1.300000000000000000e+01 2.974977019123583943e+01 9.656307081424109846e-05 3.170591019020627815e-02 2.086265690871214139e-06
1.400000000000000000e+01 2.601256898225301839e+01 8.352628367767232157e-05 2.904902963319228038e-02 2.087981349263602327e-06
1.500000000000000000e+01 2.299218194890301348e+01 7.760798276083933234e-05 2.704154833672426164e-02 2.089734155051214150e-06
1.600000000000000000e+01 2.052310442538147583e+01 7.421964973796484879e-05 2.534593977371315046e-02 2.091512245540369814e-06
1.700000000000000000e+01 1.847816681725861443e+01 7.243885076307136049e-05 2.382751025798585109e-02 2.093304515239619166e-06
1.800000000000000000e+01 1.674832539059275760e+01 7.288755699231050508e-05 2.244405960674039288e-02 2.095100765679587010e-06
1.900000000000000000e+01 1.529270681723135361e+01 7.584890850095039611e-05 2.124826219693497220e-02 2.096891827562361997e-06
2.000000000000000000e+01 1.403641159869905231e+01 8.073281749338013103e-05 2.018352345621838434e-02 2.098669655970546502e-06
2.100000000000000000e+01 1.294835200925703411e+01 8.676262472807414329e-05 1.926504501349840179e-02 2.100427397903461015e-06
2.200000000000000000e+01 1.199942835508396932e+01 9.338574696464321638e-05 1.847235963917970986e-02 2.102159427264862820e-06
2.300000000000000000e+01 1.116588502805306327e+01 1.003428110118171609e-04 1.778177098396828415e-02 2.103861350476061812e-06
2.400000000000000000e+01 1.042963667016306495e+01 1.074892616580297975e-04 1.715002517353326345e-02 2.105529986985144353e-06
2.500000000000000000e+01 9.775747502300848879e+00 1.147257311782502129e-04 1.652725256637839132e-02 2.107163315503345873e-06
2.600000000000000000e+01 9.191433300916223459e+00 1.219386278384879964e-04 1.590142108066134805e-02 2.108760407660313096e-06
2.700000000000000000e+01 8.667636970687379261e+00 1.290629807959856523e-04 1.525134488148168453e-02 2.110321324979727645e-06
2.800000000000000000e+01 8.195692663984500470e+00 1.361430745325298611e-04 1.457747094620599412e-02 2.111847005394307379e-06
2.900000000000000000e+01 7.768953559290063815e+00 1.432751986196535200e-04 1.389391456188194575e-02 2.113339138371250775e-06
3.000000000000000000e+01 7.381677268800199698e+00 1.505264120529514131e-04 1.320900101696067391e-02 2.114800018980330440e-06
3.100000000000000000e+01 7.027806104792809982e+00 1.579291691328836274e-04 1.253172931388510901e-02 2.116232403707663072e-06
3.200000000000000000e+01 6.704482081203086530e+00 1.654849228520623226e-04 1.186835396701176049e-02 2.117639358953248870e-06
3.300000000000000000e+01 6.408131311531370500e+00 1.731431603326683444e-04 1.122084590522800032e-02 2.119024113430793409e-06
3.400000000000000000e+01 6.135515430190914721e+00 1.808849780515789873e-04 1.058621410740321830e-02 2.120389918243680067e-06
3.500000000000000000e+01 5.884158185024385368e+00 1.887029460804068163e-04 9.967107422356827687e-03 2.121739906496092449e-06
3.600000000000000000e+01 5.651515304190275479e+00 1.965485385824341331e-04 9.363403926675931480e-03 2.123076976907032492e-06
3.700000000000000000e+01 5.435548436612251955e+00 2.043819231012228819e-04 8.768727854131845578e-03 2.124403688311566010e-06
3.800000000000000000e+01 5.235152747326210942e+00 2.121845342257386790e-04 8.175853491606032211e-03 2.125722166187181127e-06
3.900000000000000000e+01 5.048826003925342754e+00 2.199618913827876136e-04 7.583248853969761991e-03 2.127034035655042800e-06
4.000000000000000000e+01 4.875107292561411398e+00 2.277236861311600954e-04 6.990829066532328745e-03 2.128340372962704969e-06
4.100000000000000000e+01 4.712660761242400298e+00 2.354756042303672559e-04 6.399525543458873048e-03 2.129641676625900486e-06
4.200000000000000000e+01 4.560492553337076593e+00 2.432116661793976833e-04 5.813683695379417288e-03 2.130937857246761665e-06
4.300000000000000000e+01 4.417717154548079783e+00 2.509239294134917616e-04 5.236382302888367528e-03 2.132228254507099880e-06
4.400000000000000000e+01 4.283657615345827452e+00 2.586053666485723106e-04 4.665857428032592694e-03 2.133511662857634139e-06
4.500000000000000000e+01 4.157728372656693594e+00 2.662656364645732236e-04 4.102850796880238779e-03 2.134786381500764100e-06
4.600000000000000000e+01 4.039067279879690275e+00 2.739063368109247209e-04 3.550146264663072392e-03 2.136050276870249076e-06
4.700000000000000000e+01 3.926893267491192496e+00 2.815155843829449524e-04 3.009410482627336656e-03 2.137300864635040100e-06
4.800000000000000000e+01 3.820778703038071988e+00 2.890661432858094193e-04 2.478243055707296180e-03 2.138535379699453182e-06
4.900000000000000000e+01 3.720448120430041694e+00 2.965344475800768867e-04 1.953851940368839593e-03 2.139750880435023359e-06
5.000000000000000000e+01 3.625726631874525818e+00 3.039265758260074174e-04 1.434295397119718547e-03 2.140944341069104683e-06
5.100000000000000000e+01 3.536171985057042999e+00 3.112429495822206208e-04 9.189210584054031874e-04 2.142112742071613727e-06
5.200000000000000000e+01 3.451158884488326972e+00 3.184792214759404904e-04 4.090284961099828758e-04 2.143253168832862756e-06
5.300000000000000000e+01 3.370152473242713498e+00 3.256243649679209005e-04 -9.396782534442659515e-05 2.144362896639490224e-06
5.400000000000000000e+01 3.292925223200165341e+00 3.326728345213705753e-04 -5.893108631198237758e-04 2.145439470391632522e-06
5.500000000000000000e+01 3.219330044527688894e+00 3.396237397696934171e-04 -1.076797973145206993e-03 2.146480776611143003e-06
5.600000000000000000e+01 3.149413010317360317e+00 3.464665521180123600e-04 -1.557345044910145825e-03 2.147485101974527325e-06
5.700000000000000000e+01 3.083018265566998650e+00 3.532042662419939208e-04 -2.030994595071464268e-03 2.148451178219729647e-06
5.800000000000000000e+01 3.019694985457911596e+00 3.598467712958676522e-04 -2.496373191935166626e-03 2.149378213649234419e-06
5.900000000000000000e+01 2.959010359846707239e+00 3.664002638645140757e-04 -2.952399411110673364e-03 2.150265911650803035e-06
6.000000000000000000e+01 2.900882456376304042e+00 3.728420243938431388e-04 -3.399751587215343093e-03 2.151114471231400629e-06
6.100000000000000000e+01 2.845314382702672340e+00 3.791487579259685643e-04 -3.839509112449643411e-03 2.151924578509453577e-06
6.200000000000000000e+01 2.792231090748829914e+00 3.853058687396670751e-04 -4.272496338472327182e-03 2.152697382606368208e-06
6.300000000000000000e+01 2.741438927527666714e+00 3.913230612902981478e-04 -4.698225398959132541e-03 2.153434457153483589e-06
