# ell tt ee te bb
2.000000000000000000e+00 1.117595032100624394e+03 3.729532952554765607e-02 3.004342955863002818e+00 0.000000000000000000e+00
3.000000000000000000e+00 5.288080500804792337e+02 2.545593764138338877e-02 1.724249298952523324e+00 0.000000000000000000e+00
4.000000000000000000e+00 3.000580129348044807e+02 1.416704140601852610e-02 9.910853602551968899e-01 0.000000000000000000e+00
5.000000000000000000e+00 1.913617556980631491e+02 6.770564631069344967e-03 5.739944995073726908e-01 0.000000000000000000e+00
6.000000000000000000e+00 1.324054180068361859e+02 2.870684695559793439e-03 3.361648375068375660e-01 0.000000000000000000e+00
7.000000000000000000e+00 9.722900383955128234e+01 1.169329985323579223e-03 2.004109283260467611e-01 0.000000000000000000e+00
8.000000000000000000e+00 7.462107642097397786e+01 5.464808260187006090e-04 1.232391108395365503e-01 0.000000000000000000e+00
9.000000000000000000e+00 5.934798776298409706e+01 3.337315711550869102e-04 7.993118616532689236e-02 0.000000000000000000e+00
1.000000000000000000e+01 4.847815734773872975e+01 2.371031505302169092e-04 5.593908497328971968e-02 0.000000000000000000e+00
1.100000000000000000e+01 4.046849160866821649e+01 1.699644445563766972e-04 4.289306839024062401e-02 0.000000000000000000e+00
1.200000000000000000e+01 3.443673492852629892e+01 1.222053211922650452e-04 3.579290294979187853e-02 0.000000000000000000e+00
1.300000000000000000e+01 2.974609355066975525e+01 9.447676815957492449e-05 3.170708707816599636e-02 0.000000000000000000e+00
1.400000000000000000e+01 2.600892500856235046e+01 8.143826335187335087e-05 2.905036724860000225e-02 0.000000000000000000e+00
1.500000000000000000e+01 2.298857100290868871e+01 7.551821165997039801e-05 2.704305265135562714e-02 0.000000000000000000e+00
1.600000000000000000e+01 2.051952660724814947e+01 7.212810862556100439e-05 2.534761593402740446e-02 0.000000000000000000e+00
1.700000000000000000e+01 1.847462198804024425e+01 7.034553393247900473e-05 2.382936261236873882e-02 0.000000000000000000e+00
1.800000000000000000e+01 1.674481319734063689e+01 7.079247180099458993e-05 2.244609174005338104e-02 0.000000000000000000e+00
1.900000000000000000e+01 1.528922672097317736e+01 7.375207479386402208e-05 2.125047697087171367e-02 0.000000000000000000e+00
2.000000000000000000e+01 1.403296290454644080e+01 7.863426693704516051e-05 2.018592305387757399e-02 0.000000000000000000e+00
2.100000000000000000e+01 1.294493389786824800e+01 8.466240007881539699e-05 1.926763098653581918e-02 0.000000000000000000e+00
2.200000000000000000e+01 1.199603991469836295e+01 9.128390129072830230e-05 1.847513295590219942e-02 0.000000000000000000e+00
2.300000000000000000e+01 1.116252528632398544e+01 9.823940689226718639e-05 1.778473207677779694e-02 0.000000000000000000e+00
2.400000000000000000e+01 1.042630462504607713e+01 1.053843703836590382e-04 1.715317398421836378e-02 0.000000000000000000e+00
2.500000000000000000e+01 9.772442151302787039e+00 1.126194319685949410e-04 1.653058858788019822e-02 0.000000000000000000e+00
2.600000000000000000e+01 9.188153668076369129e+00 1.198310071060931917e-04 1.590494339410681787e-02 0.000000000000000000e+00
2.700000000000000000e+01 8.664382130742286137e+00 1.269541314605093394e-04 1.525505218747347236e-02 0.000000000000000000e+00
2.800000000000000000e+01 8.192461763260885377e+00 1.340330954075586800e-04 1.458136158957941061e-02 0.000000000000000000e+00
2.900000000000000000e+01 7.765745832972315021e+00 1.411641938877072596e-04 1.389798654937810657e-02 0.000000000000000000e+00
3.000000000000000000e+01 7.378492054327650429e+00 1.484144908274886846e-04 1.321325202751428424e-02 0.000000000000000000e+00
3.100000000000000000e+01 7.024642851253921627e+00 1.558164451216119330e-04 1.253615670147756496e-02 0.000000000000000000e+00
