#noise \sigma(neff)
1.000 0.0225716
1.100 0.0230337
1.200 0.0234936
1.300 0.0239522
1.400 0.0244098
1.500 0.0248666
1.600 0.0253227
1.700 0.025778
1.800 0.0262325
1.900 0.0266859
2.000 0.0271382
2.100 0.0275893
2.200 0.0280391
2.300 0.0284875
2.400 0.0289344
2.500 0.0293796
2.600 0.0298233
2.700 0.0302652
2.800 0.0307054
2.900 0.0311438
3.000 0.0315803
3.100 0.0320149
3.200 0.0324476
3.300 0.0328783
3.400 0.0333071
3.500 0.0337337
3.600 0.0341583
3.700 0.0345808
3.800 0.0350012
3.900 0.0354195
4.000 0.0358355
4.100 0.0362494
4.200 0.036661
4.300 0.0370704
4.400 0.0374776
4.500 0.0378825
4.600 0.0382851
4.700 0.0386854
4.800 0.0390835
4.900 0.0394792
5.000 0.0398726
5.100 0.0402637
5.200 0.0406525
5.300 0.041039
5.400 0.0414231
5.500 0.041805
5.600 0.0421845
5.700 0.0425618
5.800 0.0429367
5.900 0.0433094
6.000 0.0436797
6.100 0.0440479
6.200 0.0444137
6.300 0.0447773
6.400 0.0451387
6.500 0.0454979
6.600 0.0458549
6.700 0.0462097
6.800 0.0465623
6.900 0.0469128
7.000 0.0472611
7.100 0.0476073
7.200 0.0479514
7.300 0.0482935
7.400 0.0486335
7.500 0.0489714
7.600 0.0493073
7.700 0.0496412
7.800 0.0499731
7.900 0.0503031
8.000 0.0506311
8.100 0.0509572
8.200 0.0512814
8.300 0.0516037
8.400 0.0519242
8.500 0.0522428
8.600 0.0525596
8.700 0.0528746
8.800 0.0531878
8.900 0.0534992
9.000 0.0538089
9.100 0.0541169
9.200 0.0544232
9.300 0.0547279
9.400 0.0550308
9.500 0.0553322
9.600 0.0556319
9.700 0.05593
9.800 0.0562266
9.900 0.0565216
10.000 0.0568151
