#noise \sigma(ns)
1.000 0.00254548
1.100 0.00256077
1.200 0.00257615
1.300 0.0025916
1.400 0.00260712
1.500 0.00262269
1.600 0.00263829
1.700 0.00265391
1.800 0.00266952
1.900 0.00268512
2.000 0.00270068
2.100 0.00271621
2.200 0.00273169
2.300 0.00274711
2.400 0.00276246
2.500 0.00277775
2.600 0.00279297
2.700 0.00280811
2.800 0.00282317
2.900 0.00283815
3.000 0.00285304
3.100 0.00286785
3.200 0.00288258
3.300 0.00289722
3.400 0.00291177
3.500 0.00292623
3.600 0.0029406
3.700 0.00295489
3.800 0.00296909
3.900 0.00298319
4.000 0.00299721
4.100 0.00301114
4.200 0.00302498
4.300 0.00303873
4.400 0.0030524
4.500 0.00306597
4.600 0.00307946
4.700 0.00309286
4.800 0.00310618
4.900 0.0031194
5.000 0.00313255
5.100 0.00314561
5.200 0.00315858
5.300 0.00317147
5.400 0.00318428
5.500 0.00319701
5.600 0.00320966
5.700 0.00322223
5.800 0.00323472
5.900 0.00324713
6.000 0.00325947
6.100 0.00327173
6.200 0.00328391
6.300 0.00329603
6.400 0.00330807
6.500 0.00332004
6.600 0.00333194
6.700 0.00334378
6.800 0.00335554
6.900 0.00336724
7.000 0.00337888
7.100 0.00339045
7.200 0.00340196
7.300 0.00341341
7.400 0.00342479
7.500 0.00343612
7.600 0.00344739
7.700 0.00345861
7.800 0.00346977
7.900 0.00348087
8.000 0.00349192
8.100 0.00350292
8.200 0.00351387
8.300 0.00352477
8.400 0.00353562
8.500 0.00354642
8.600 0.00355718
8.700 0.00356789
8.800 0.00357855
8.900 0.00358918
9.000 0.00359976
9.100 0.00361029
9.200 0.00362079
9.300 0.00363125
9.400 0.00364167
9.500 0.00365205
9.600 0.00366239
9.700 0.0036727
9.800 0.00368297
9.900 0.00369321
10.000 0.00370341
