#noise \sigma(neff)
1.000 0.0226
1.100 0.023
1.200 0.0235
1.300 0.024
1.400 0.0244
1.500 0.0249
1.600 0.0253
1.700 0.0258
1.800 0.0262
1.900 0.0267
2.000 0.0271
2.100 0.0276
2.200 0.028
2.300 0.0285
2.400 0.0289
2.500 0.0294
2.600 0.0298
2.700 0.0303
2.800 0.0307
2.900 0.0311
3.000 0.0316
3.100 0.032
3.200 0.0324
3.300 0.0329
3.400 0.0333
3.500 0.0337
3.600 0.0342
3.700 0.0346
3.800 0.035
3.900 0.0354
4.000 0.0358
4.100 0.0362
4.200 0.0367
4.300 0.0371
4.400 0.0375
4.500 0.0379
4.600 0.0383
4.700 0.0387
4.800 0.0391
4.900 0.0395
5.000 0.0399
5.100 0.0403
5.200 0.0407
5.300 0.041
5.400 0.0414
5.500 0.0418
5.600 0.0422
5.700 0.0426
5.800 0.0429
5.900 0.0433
6.000 0.0437
6.100 0.044
6.200 0.0444
6.300 0.0448
6.400 0.0451
6.500 0.0455
6.600 0.0459
6.700 0.0462
6.800 0.0466
6.900 0.0469
7.000 0.0473
7.100 0.0476
7.200 0.048
7.300 0.0483
7.400 0.0486
7.500 0.049
7.600 0.0493
7.700 0.0496
7.800 0.05
7.900 0.0503
8.000 0.0506
8.100 0.051
8.200 0.0513
8.300 0.0516
8.400 0.0519
8.500 0.0522
8.600 0.0526
8.700 0.0529
8.800 0.0532
8.900 0.0535
9.000 0.0538
9.100 0.0541
9.200 0.0544
9.300 0.0547
9.400 0.055
9.500 0.0553
9.600 0.0556
9.700 0.0559
9.800 0.0562
9.900 0.0565
