#noise \sigma(ns)
1.000 0.0025
1.100 0.0026
1.200 0.0026
1.300 0.0026
1.400 0.0026
1.500 0.0026
1.600 0.0026
1.700 0.0027
1.800 0.0027
1.900 0.0027
2.000 0.0027
2.100 0.0027
2.200 0.0027
2.300 0.0027
2.400 0.0028
2.500 0.0028
2.600 0.0028
2.700 0.0028
2.800 0.0028
2.900 0.0028
3.000 0.0029
3.100 0.0029
3.200 0.0029
3.300 0.0029
3.400 0.0029
3.500 0.0029
3.600 0.0029
3.700 0.003
3.800 0.003
3.900 0.003
4.000 0.003
4.100 0.003
4.200 0.003
4.300 0.003
4.400 0.0031
4.500 0.0031
4.600 0.0031
4.700 0.0031
4.800 0.0031
4.900 0.0031
5.000 0.0031
5.100 0.0031
5.200 0.0032
5.300 0.0032
5.400 0.0032
5.500 0.0032
5.600 0.0032
5.700 0.0032
5.800 0.0032
5.900 0.0032
6.000 0.0033
6.100 0.0033
6.200 0.0033
6.300 0.0033
6.400 0.0033
6.500 0.0033
6.600 0.0033
6.700 0.0033
6.800 0.0034
6.900 0.0034
7.000 0.0034
7.100 0.0034
7.200 0.0034
7.300 0.0034
7.400 0.0034
7.500 0.0034
7.600 0.0034
7.700 0.0035
7.800 0.0035
7.900 0.0035
8.000 0.0035
8.100 0.0035
8.200 0.0035
8.300 0.0035
8.400 0.0035
8.500 0.0035
8.600 0.0036
8.700 0.0036
8.800 0.0036
8.900 0.0036
9.000 0.0036
9.100 0.0036
9.200 0.0036
9.300 0.0036
9.400 0.0036
9.500 0.0037
9.600 0.0037
9.700 0.0037
9.800 0.0037
9.900 0.0037
